app,contentDescription,addCaptioningChangeListener,getFontScale,getLocale,getUserStyle,isEnabled,removeCaptioningChangeListener,screenOrientation,inputType,inputMethod,phoneNumber,password,numeric,digits,autoText,editable,background,textColor,autoSizeTextType,textSize,textScaleX,autoSizeMaxTextSize,autoSizeMinTextSize,autoSizePresetSizes,lineSpacingMultiplier,lineSpacingExtra,letterSpacing,animateLayoutChanges,nextFocusForward,nextFocusUp,nextFocusDown,nextFocusLeft,nextFocusRight,accessibilityPaneTitle,accessibilityTraversalBefore,accessibilityTraversalAfter,accessibilityHeading,cursorVisible,minWidth,minHeight,screenReaderFocusable,focusable,hint,labelFor,onInitializeAccessibilityNodeInfo,replaceAccessibilityAction,accessibilityLiveRegion,importantForAccessibility,hapticFeedbackEnabled,sendAccessibilityEvent,sendAccessibilityEventUnchecked,dispatchPopulateAccessibilityEvent,onPopulateAccessibilityEvent,onRequestSendAccessibilityEvent,onBindViewHolder,GP-score,GP-installs,CM-SumDIACodeElements,CM-IndexDIACodeElements,CM-SumIIACodeElements,CM-IndexIIACodeElements,CM-SumAllCodeElements,CM-IndexAllCodeElements,CM-SumPerceivableCodeElements,CM-SumOperableCodeElements,CM-SumUnderstandableCodeElements,CM-SumRobustCodeElements,AL-GetContentDescriptionOverride,AL-ClickableViewAccessibility,AL-ContentDescription,AL-KeyboardInaccessibleWidget,AL-LabelFor,AL-acc_issues,M-NonTextContent,M-LabelOrInstructions,M-IdentifyInputPurpose,M-ContrastMinimum,M-TargetSize,M-DuplicateContentDescription,M-Spacing,M-Orientation,M-PageTitled,M-acc_issues,W-perceivable_issues,W-operable_issues,W-understandable_issues,W-robust_issues,total_of_issues
10000sentences,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,38,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.32,35037,37,3,43,2,80,5,79,0,1,0,0,0,1,0,4,5,7,4,2,319,9,0,0,8,4,353,337,13,8,0,358
activitydiary,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3.8888888,1766,34,4,21,3,55,7,50,0,2,3,0,0,1,0,1,2,11,3,0,91,12,0,11,5,4,137,108,27,4,0,139
aegis,0,0,0,2,0,0,0,0,9,0,0,2,0,0,0,0,36,39,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,9,0,0,0,0,0,0,4,4.74,32682,59,7,81,4,140,11,113,2,12,13,0,0,21,0,2,23,50,5,4,36,24,0,2,7,3,131,118,29,7,0,154
aelf-dailyreadings,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.6431093,431789,5,1,21,4,26,5,24,0,0,2,0,2,0,0,0,2,8,2,0,54,97,0,7,2,2,172,64,106,2,2,174
androdns,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4.4363637,17904,14,3,3,1,17,4,14,0,3,0,0,0,1,0,2,3,7,5,1,13,18,2,20,2,1,69,26,39,7,0,72
android-gotify,5,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,4.6896553,3317,24,5,9,4,33,9,26,0,6,1,0,0,2,0,0,2,2,0,0,1,4,0,0,2,2,11,7,6,0,0,13
android-gpsd-client,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,4,3,2,1,6,4,4,0,2,0,0,0,0,0,0,0,4,0,2,10,6,0,4,2,0,28,18,10,0,0,28
androidnetworktools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.285714,4177,2,2,1,1,3,3,2,0,1,0,0,0,0,0,0,0,1,0,0,5,2,0,5,2,0,15,8,7,0,0,15
androidplanisphere,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,2,2,7,5,5,0,2,0,0,1,0,0,0,1,0,2,0,19,78,0,0,1,2,102,20,80,2,1,103
anlinux-adfree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9849625,453101,7,1,1,1,8,2,8,0,0,0,0,0,0,0,0,0,1,1,0,19,16,0,0,2,1,40,22,17,1,0,40
applock,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,4,4410,36,4,79,4,115,8,109,0,2,4,0,1,21,0,0,22,4,0,0,5,1,0,0,1,1,12,31,2,0,1,34
archpackages,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4.827586,4929,2,2,32,3,34,5,30,0,1,3,0,0,0,0,0,0,21,2,0,8,20,0,3,1,1,56,30,24,2,0,56
atalk-android,76,0,0,8,0,32,0,0,129,0,0,0,0,0,0,7,279,181,0,47,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,5,121,1,0,0,0,0,0,0,0,0,0,0,1,3.7777777,5097,383,7,508,7,891,14,759,9,122,1,0,6,84,4,54,148,50,19,4,61,87,0,0,5,5,231,204,96,73,6,379
