app,contentDescription,addCaptioningChangeListener,getFontScale,getLocale,getUserStyle,isEnabled,removeCaptioningChangeListener,screenOrientation,inputType,inputMethod,phoneNumber,password,numeric,digits,autoText,editable,background,textColor,autoSizeTextType,textSize,textScaleX,autoSizeMaxTextSize,autoSizeMinTextSize,autoSizePresetSizes,lineSpacingMultiplier,lineSpacingExtra,letterSpacing,animateLayoutChanges,nextFocusForward,nextFocusUp,nextFocusDown,nextFocusLeft,nextFocusRight,accessibilityPaneTitle,accessibilityTraversalBefore,accessibilityTraversalAfter,accessibilityHeading,cursorVisible,minWidth,minHeight,screenReaderFocusable,focusable,hint,labelFor,onInitializeAccessibilityNodeInfo,replaceAccessibilityAction,accessibilityLiveRegion,importantForAccessibility,hapticFeedbackEnabled,sendAccessibilityEvent,sendAccessibilityEventUnchecked,dispatchPopulateAccessibilityEvent,onPopulateAccessibilityEvent,onRequestSendAccessibilityEvent,onBindViewHolder,GP-score,GP-installs,CM-SumDIACodeElements,CM-IndexDIACodeElements,CM-SumIIACodeElements,CM-IndexIIACodeElements,CM-SumAllCodeElements,CM-IndexAllCodeElements,CM-SumPerceivableCodeElements,CM-SumOperableCodeElements,CM-SumUnderstandableCodeElements,CM-SumRobustCodeElements,AL-GetContentDescriptionOverride,AL-ClickableViewAccessibility,AL-ContentDescription,AL-KeyboardInaccessibleWidget,AL-LabelFor,AL-acc_issues,M-NonTextContent,M-IdentifyInputPurpose,M-ContrastMinimum,M-TargetSize,M-DuplicateContentDescription,M-Spacing,M-Orientation,M-PageTitled,M-acc_issues,W-perceivable_issues,W-operable_issues,W-understandable_issues,W-robust_issues,total_of_issues
10000sentences,0,0,0,0,0,0,0,0,1.8747656542932134e-4,0,0,0,0,0,0,0,9.373828271466067e-4,0.007124109486314211,0,0.006561679790026247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8747656542932134e-4,0,0,0,0,0,0,0,0,0,0,0,4.32,35037,0.006936632920884889,3,0.008061492313460818,2,0.014998125234345707,5,0.014810648668916385,0,1.8747656542932134e-4,0,0,0,1.8747656542932134e-4,0,7.499062617172854e-4,9.373828271466067e-4,0.0020622422197225346,3.749531308586427e-4,0.05980502437195351,0.001687289088863892,0,0,0,0.0014998125234345708,0.02680914885639295,0.06242969628796401,0.0031871016122984627,7.499062617172854e-4,0,0.027746531683539556
activitydiary,0.002197802197802198,0,0,0,0,0,0,0,4.7095761381475666e-4,0,0,0,0,0,0,0,0.0018838304552590266,9.419152276295133e-4,0,0.002354788069073783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.139717425431711e-4,0,0,0,0,0,0,0,0,0,0,0,4.7095761381475666e-4,3.8888888,1766,0.005337519623233909,4,0.0032967032967032967,3,0.008634222919937205,7,0.007849293563579277,0,3.139717425431711e-4,4.7095761381475666e-4,0,0,1.5698587127158556e-4,0,1.5698587127158556e-4,3.139717425431711e-4,0.002197802197802198,0,0.014285714285714285,0.0018838304552590266,0,0.001726844583987441,0,7.849293563579278e-4,0.020251177394034536,0.018367346938775512,0.0026687598116169543,1.5698587127158556e-4,0,0.02056514913657771
aegis,0,0,0,1.8844812965231321e-4,0,0,0,0,8.480165834354094e-4,0,0,1.8844812965231321e-4,0,0,0,0,0.0033920663337416376,0.0036747385282201073,0,0.0022613775558277586,0,0,0,0,0,9.422406482615661e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8844812965231321e-4,0.0011306887779138793,0,0,0,0,8.480165834354094e-4,0,0,0,0,0,0,3.7689625930462643e-4,4.74,32682,0.00555921982474324,7,0.007632149250918685,4,0.013191369075661924,11,0.010647319325355696,0,0.0013191369075661924,0.0012249128427400358,0,0,0.0019787053613492885,0,1.8844812965231321e-4,0.002167153491001602,0.005182323565438613,3.7689625930462643e-4,0.0033920663337416376,0.0022613775558277586,0,1.8844812965231321e-4,0,6.595684537830962e-4,0.005936116084047866,0.01111843964948648,0.0029209460096108544,1.8844812965231321e-4,0,0.008103269575049468
aelf-dailyreadings,0,0,0,0,0,9.636696540425942e-5,0,0,0,0,0,0,0,0,0,0,0.0014455044810638912,2.891008962127783e-4,0,4.818348270212971e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9273393080851883e-4,4.6431093,431789,4.818348270212971e-4,1,0.002023706273489448,4,0.0025055411005107447,5,0.0023128071697022263,0,0,1.9273393080851883e-4,0,1.9273393080851883e-4,0,0,0,1.9273393080851883e-4,0.0010600366194468537,0,0.007612990266936494,0.008865760817191867,0,6.745687578298159e-4,0,1.9273393080851883e-4,0.009058494748000386,0.009347595644213164,0.009058494748000386,0,1.9273393080851883e-4,0.009251228678808905
androdns,5.506607929515419e-4,0,0,0,0,0,0,0,0.005506607929515419,0,0,0,0,0,0,0,0.0016519823788546256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016519823788546256,0,0,0,0,0,0,0,0,0,0,0,0,4.4363637,17904,0.007709251101321586,3,0.0016519823788546256,1,0.009361233480176211,4,0.007709251101321586,0,0.0016519823788546256,0,0,0,5.506607929515419e-4,0,0.0011013215859030838,0.0016519823788546256,0.006607929515418502,5.506607929515419e-4,0.007158590308370044,0.009911894273127754,0.0011013215859030838,0.011013215859030838,0,0.0011013215859030838,0.06497797356828194,0.025881057268722467,0.011013215859030838,0.0011013215859030838,0.0011013215859030838,0.06662995594713657
android-gotify,9.361542782250515e-4,0,0,0,0,1.872308556450103e-4,0,0,0.0011233851338700617,0,0,0,0,1.872308556450103e-4,0,0,5.616925669350309e-4,7.489234225800412e-4,0,0.0011233851338700617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011233851338700617,0,0,0,0,0,0,0,0,0,0,0,1.872308556450103e-4,4.6896553,3317,0.004493540535480247,5,0.0016850777008050927,4,0.00617861823628534,9,0.004868002246770268,0,0.0011233851338700617,1.872308556450103e-4,0,0,3.744617112900206e-4,0,0,3.744617112900206e-4,3.744617112900206e-4,0,1.872308556450103e-4,7.489234225800412e-4,0,0,0,3.744617112900206e-4,0.0020595394120951132,9.361542782250515e-4,0.0011233851338700617,0,0,0.002434001123385134
android-gpsd-client,0,0,0,0,0,0,0,0,0.002145922746781116,0,0,0,0,0,0,0,0,0.004291845493562232,0,0.002145922746781116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004291845493562232,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,0.008583690987124463,3,0.004291845493562232,1,0.012875536480686695,4,0.008583690987124463,0,0.004291845493562232,0,0,0,0,0,0,0,0.012875536480686695,0.002145922746781116,0.0407725321888412,0.017167381974248927,0,0.008583690987124463,0,0.01072961373390558,0.017167381974248927,0.06437768240343347,0.027896995708154508,0,0,0.017167381974248927
androidnetworktools,0,0,0,0,0,0,0,0,7.246376811594203e-4,0,0,0,0,0,0,0,7.246376811594203e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246376811594203e-4,0,0,0,0,0,0,0,0,0,0,0,0,4.285714,4177,0.0014492753623188406,2,7.246376811594203e-4,1,0.002173913043478261,3,0.0014492753623188406,0,7.246376811594203e-4,0,0,0,0,0,0,0,7.246376811594203e-4,0,0.0036231884057971015,0.0014492753623188406,0,0.0036231884057971015,0,0.0014492753623188406,0.002173913043478261,0.007971014492753623,0.002898550724637681,0,0,0.002173913043478261
androidplanisphere,0,0,0,0,0,2.904443799012489e-4,0,0,5.808887598024978e-4,0,0,0,0,0,0,0,2.904443799012489e-4,0,0,2.904443799012489e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.808887598024978e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0014522218995062445,3,5.808887598024978e-4,2,0.0020331106593087424,5,0.0014522218995062445,0,5.808887598024978e-4,0,0,2.904443799012489e-4,0,0,0,2.904443799012489e-4,5.808887598024978e-4,0,0.00551844321812373,0.022654661632297415,0,0,0,2.904443799012489e-4,0.014231774615161197,0.006099331977926227,0.022945106012198666,0,2.904443799012489e-4,0.014522218995062446
anlinux-adfree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.883506343713956e-4,0,0,0.002018454440599769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9849625,453101,0.002018454440599769,1,2.883506343713956e-4,1,0.002306805074971165,2,0.002306805074971165,0,0,0,0,0,0,0,0,0,5.767012687427913e-4,0,0.005478662053056517,0.00461361014994233,0,0,0,5.767012687427913e-4,0.025951557093425604,0.006055363321799308,0.005190311418685121,0,0,0.025951557093425604
applock,1.4963339817447254e-4,0,0,0,0,1.4963339817447254e-4,0,0,0,0,0,0,0,0,0,0,0.006434236121502319,0.004788268741583121,0,0.004788268741583121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.992667963489451e-4,0,0,0,0,0,0,1.4963339817447254e-4,0,0,0,0,4.489001945234176e-4,4,4410,0.005386802334281011,4,0.01182103845578333,4,0.017207840790064342,8,0.01631004040101751,0,2.992667963489451e-4,5.985335926978902e-4,0,1.4963339817447254e-4,0.0031423013616639233,0,0,0.003291934759838396,5.985335926978902e-4,0,7.481669908723628e-4,1.4963339817447254e-4,0,0,0,1.4963339817447254e-4,4.489001945234176e-4,0.004489001945234176,2.992667963489451e-4,0,1.4963339817447254e-4,0.0037408349543618137
archpackages,0,0,0,0,0,0,0,0,4.3159257660768235e-4,0,0,0,0,0,0,0,0.009495036685369012,0.0030211480362537764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3159257660768235e-4,0,0,0,0,0,0,0,0,0,0,0,0.001294777729823047,4.827586,4929,8.631851532153647e-4,2,0.013810962451445835,3,0.0146741476046612,5,0.01294777729823047,0,4.3159257660768235e-4,0.001294777729823047,0,0,0,0,0,0,0.009926629261976695,0,0.0034527406128614588,0.008631851532153647,0,0.001294777729823047,0,4.3159257660768235e-4,0.06689684937419077,0.0146741476046612,0.00906344410876133,0,0,0.06689684937419077
atalk-android,3.0376670716889426e-4,0,0,3.197544285988361e-5,0,1.2790177143953444e-4,0,0,5.156040161156232e-4,0,0,0,0,0,0,2.7978512502398158e-5,0.001115143569738441,7.234443947048666e-4,0,1.878557268018162e-4,0,0,0,0,0,0,0,1.1990791072456353e-5,0,0,0,0,0,0,0,0,0,3.996930357485451e-6,0,0,0,1.9984651787427257e-5,4.836285732557396e-4,3.996930357485451e-6,0,0,0,0,0,0,0,0,0,0,3.996930357485451e-6,3.7777777,5097,0.0015308243269169278,7,0.0020304406216026093,7,0.003561264948519537,14,0.0030336701413314574,1.5987721429941805e-5,5.076101554006523e-4,3.996930357485451e-6,0,2.3981582144912706e-5,3.357421500287779e-4,1.5987721429941805e-5,2.1583423930421436e-4,5.915456929078467e-4,2.7578819466649615e-4,1.5987721429941805e-5,2.4381275180661253e-4,3.477329411012343e-4,0,0,0,1.9984651787427257e-5,3.477329411012343e-4,8.713308179318284e-4,3.677175928886615e-4,2.3182196073415616e-4,2.3981582144912706e-5,9.39278634009081e-4
