projectname,packagename,sessionID,activities_executed,states_visited,violations,widgets,widgets_with_issues,1.1.1 - Non-text Content (A),1.3.5 - Identify Input Purpose (AA),1.4.3 - Contrast Minimum (AA),2.5.5 - Target Size (AAA),GENERAL - Duplicate Content Description (label),BBC - DESIGN - Spacing,1.4.1 - Use of Color (A),1.3.4 - Orientation(AA),2.4.2 - Page Titled (A),exectime
androdns,androdns.android.leetdreams.ch.androdns,1596020158,5,118,69,183,42,12,1,13,18,2,20,0,2,1,1800113
rxdroid,at.jclehner.rxdroid,1596154162,6,94,164,784,148,19,0,121,14,0,2,0,4,4,1800832
Calliope-Android-App,cc.calliope.mini,1596287268,6,120,522,1027,443,28,0,322,166,0,0,0,4,2,1800407
PilferShushJammer,cityfreqs.com.pilfershushjammer,1596174717,1,26,31,106,25,2,0,5,15,0,7,0,1,1,1803347
aelf-dailyreadings,co.epitre.aelf_lectures,1595836286,2,94,193,545,156,11,0,79,92,0,7,0,2,2,1800796
mynotes,com.aa.mynotes,1596113391,3,10,17,70,16,3,0,10,1,0,0,0,2,1,1801033
kboard,com.adgad.kboard,1596032612,2,21,22,355,18,7,0,6,5,0,0,0,2,2,1801073
ContentBlocker,com.adguard.android.contentblocker,1595971201,2,6,23,79,21,13,0,6,0,0,1,0,1,2,1800202
Goodtime,com.apps.adrcotfas.goodtime,1596182090,7,43,33,437,28,14,0,5,2,0,2,0,6,4,1804502
diceware-pass-gen,com.aptasystems.dicewarepasswordgenerator,1595664486,4,45,29,195,21,0,0,6,13,0,8,0,1,1,1801789
wonderdroid-x,com.atelieryl.wonderdroid,1596237962,2,54,50,680,41,18,1,17,8,0,2,0,2,2,1800495
TEdit,com.atr.tedit,1596254424,1,52,79,224,60,48,1,11,17,0,0,0,1,1,1800798
World-Scribe,com.averi.worldscribe,1596236145,14,65,181,511,137,12,1,101,55,0,0,0,7,5,1803676
Aegis,com.beemdevelopment.aegis.debug,1595973027,8,63,131,564,111,55,4,36,24,0,2,0,7,3,1800876
WeatherRadar,com.danhasting.radar,1596267761,4,72,56,221,43,11,0,27,12,0,0,0,3,3,1800406
motioneye-client,com.developerfromjokela.motioneyeclient,1596089217,2,19,21,75,15,2,0,9,6,0,2,0,2,0,1800487
OpenPods,com.dosse.airpods,1596096707,1,1,3,12,3,1,0,1,0,0,0,0,1,0,1804211
sine-android,com.dosse.bwentrain.androidPlayer,1596265552,7,100,358,763,304,11,0,150,190,0,0,0,6,1,1803628
DokuwikiAndroid,com.fabienli.dokuwiki,1595840087,4,42,53,153,46,8,1,28,11,0,0,0,4,1,1800637
Diaguard,com.faltenreich.diaguard,1596214513,5,151,219,1334,203,46,0,125,42,0,0,0,3,3,1801303
Notepad,com.farmerbb.notepad.debug,1596062630,3,60,25,144,22,3,0,13,4,0,0,0,2,3,1800556
SecondScreen,com.farmerbb.secondscreen.free.debug,1595863870,5,21,34,160,31,7,0,16,7,0,0,0,2,2,1803080
FediPhoto,com.fediphoto,1595713268,4,34,39,126,33,8,0,4,17,0,2,0,5,3,1800746
syncthing-android-fdroid,com.github.catfriend1.syncthingandroid.debug,1596256243,1,9,26,40,24,3,0,20,0,0,2,0,1,0,1800812
android-gotify,com.github.gotify,1596006273,3,11,11,68,8,2,0,1,4,0,0,0,2,2,1800821
YalpStore,com.github.kiliakin.yalpstore.contemporary.debug,1596258413,11,117,150,800,119,37,2,21,70,2,4,0,7,7,1800824
Light-Android-Launcher,com.github.postapczuk.lalauncher,1596069609,3,7,9,25,6,1,0,2,2,0,1,0,3,0,1803395
PdfViewer,com.gsnathan.pdfviewer,1596068198,6,23,60,300,51,14,0,27,9,0,1,0,6,3,1803304
heb12-mobile,com.heb12.heb12,1596088237,2,223,438,1121,357,40,0,258,137,0,0,0,2,1,1800059
Phonograph,com.kabouzeid.gramophone.debug,1596185848,3,11,40,171,38,12,0,21,5,0,0,0,2,0,2102507
